Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
28072023 152137.618	877.89	768.00	n/a	n/a	n/a	n/a	n/a	n/a	11.16	8.91	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 152158.917	603.12	524.21	n/a	n/a	n/a	n/a	n/a	n/a	7.66	6.06	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 152220.319	363.95	342.36	n/a	n/a	n/a	n/a	n/a	n/a	4.61	3.94	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 152241.721	408.22	362.98	n/a	n/a	n/a	n/a	n/a	n/a	5.18	4.18	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 152303.122	265.96	300.06	n/a	n/a	n/a	n/a	n/a	n/a	3.37	3.45	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 152324.523	317.73	285.98	n/a	n/a	n/a	n/a	n/a	n/a	4.03	3.28	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 152345.925	258.91	258.64	n/a	n/a	n/a	n/a	n/a	n/a	3.28	2.96	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 152407.224	201.09	186.05	n/a	n/a	n/a	n/a	n/a	n/a	2.54	2.12	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 152428.420	178.71	221.60	n/a	n/a	n/a	n/a	n/a	n/a	2.25	2.53	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 152449.617	209.62	84.17	n/a	n/a	n/a	n/a	n/a	n/a	2.65	0.93	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 152510.916	49.44	8.57	n/a	n/a	n/a	n/a	n/a	n/a	0.61	0.04	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 152532.113	0.75	2.47	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 152553.310	0.01	72.20	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	0.79	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 152614.609	7.30	53.36	n/a	n/a	n/a	n/a	n/a	n/a	0.07	0.57	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 152635.805	13.38	192.96	n/a	n/a	n/a	n/a	n/a	n/a	0.15	2.20	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 152656.925	9.57	200.87	n/a	n/a	n/a	n/a	n/a	n/a	0.10	2.29	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 152718.122	7.43	78.49	n/a	n/a	n/a	n/a	n/a	n/a	0.07	0.86	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 152739.216	7.64	7.47	n/a	n/a	n/a	n/a	n/a	n/a	0.08	0.03	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 152800.413	6.19	8.00	n/a	n/a	n/a	n/a	n/a	n/a	0.06	0.04	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 152821.814	2.47	5.04	n/a	n/a	n/a	n/a	n/a	n/a	0.01	0.00	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 152843.216	1.84	4.68	n/a	n/a	n/a	n/a	n/a	n/a	0.00	-0.00	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 152904.617	0.15	2.18	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 152925.916	-0.06	4.38	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 152947.113	-0.22	3.69	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 153008.309	0.23	3.35	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 153029.608	0.52	2.60	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 162151.489	880.74	811.44	n/a	n/a	n/a	n/a	n/a	n/a	11.20	9.42	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 162212.686	676.96	651.89	n/a	n/a	n/a	n/a	n/a	n/a	8.60	7.55	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 162233.780	387.57	427.66	n/a	n/a	n/a	n/a	n/a	n/a	4.92	4.94	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 162254.977	280.19	290.02	n/a	n/a	n/a	n/a	n/a	n/a	3.55	3.33	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 162316.378	247.72	233.16	n/a	n/a	n/a	n/a	n/a	n/a	3.13	2.67	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 162337.779	344.32	286.99	n/a	n/a	n/a	n/a	n/a	n/a	4.36	3.29	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 162359.181	331.61	308.69	n/a	n/a	n/a	n/a	n/a	n/a	4.20	3.55	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 162420.480	262.69	274.52	n/a	n/a	n/a	n/a	n/a	n/a	3.32	3.15	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 162441.676	263.74	216.48	n/a	n/a	n/a	n/a	n/a	n/a	3.34	2.47	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 162502.796	190.47	117.93	n/a	n/a	n/a	n/a	n/a	n/a	2.40	1.32	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 162523.993	95.50	38.62	n/a	n/a	n/a	n/a	n/a	n/a	1.19	0.39	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 162545.394	28.69	2.95	n/a	n/a	n/a	n/a	n/a	n/a	0.34	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 162606.693	0.22	2.35	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 162627.890	1.62	15.14	n/a	n/a	n/a	n/a	n/a	n/a	-0.00	0.12	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 162648.984	2.76	36.43	n/a	n/a	n/a	n/a	n/a	n/a	0.01	0.37	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 162710.181	6.99	127.59	n/a	n/a	n/a	n/a	n/a	n/a	0.07	1.43	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 162731.275	10.67	67.28	n/a	n/a	n/a	n/a	n/a	n/a	0.11	0.73	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 162752.497	13.94	13.39	n/a	n/a	n/a	n/a	n/a	n/a	0.16	0.10	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 162813.873	7.33	3.93	n/a	n/a	n/a	n/a	n/a	n/a	0.07	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 162835.274	2.61	6.37	n/a	n/a	n/a	n/a	n/a	n/a	0.01	0.02	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 162856.676	0.30	4.58	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.00	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 162918.077	-0.09	2.38	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 162939.376	0.02	4.14	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 163000.573	0.46	4.63	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.00	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 163021.692	0.20	2.93	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 163042.787	0.25	2.36	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 172204.451	968.94	787.00	n/a	n/a	n/a	n/a	n/a	n/a	12.32	9.13	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 172225.750	908.00	750.37	n/a	n/a	n/a	n/a	n/a	n/a	11.54	8.70	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 172246.844	512.93	326.37	n/a	n/a	n/a	n/a	n/a	n/a	6.51	3.75	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 172307.938	512.58	278.10	n/a	n/a	n/a	n/a	n/a	n/a	6.51	3.19	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 172329.135	274.26	195.28	n/a	n/a	n/a	n/a	n/a	n/a	3.47	2.22	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 172350.254	305.47	238.05	n/a	n/a	n/a	n/a	n/a	n/a	3.87	2.72	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 172411.451	323.82	243.81	n/a	n/a	n/a	n/a	n/a	n/a	4.10	2.79	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 172432.750	297.86	247.02	n/a	n/a	n/a	n/a	n/a	n/a	3.77	2.83	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 172453.946	205.32	254.37	n/a	n/a	n/a	n/a	n/a	n/a	2.59	2.91	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 172515.040	266.92	207.67	n/a	n/a	n/a	n/a	n/a	n/a	3.38	2.37	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 172536.237	208.94	151.54	n/a	n/a	n/a	n/a	n/a	n/a	2.64	1.71	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 172557.331	90.54	7.11	n/a	n/a	n/a	n/a	n/a	n/a	1.13	0.03	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 172618.451	-0.84	3.32	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 172639.647	-0.56	5.77	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	0.01	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 172700.741	1.99	48.31	n/a	n/a	n/a	n/a	n/a	n/a	0.00	0.51	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 172721.938	7.09	177.87	n/a	n/a	n/a	n/a	n/a	n/a	0.07	2.02	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 172743.032	5.81	118.16	n/a	n/a	n/a	n/a	n/a	n/a	0.05	1.32	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 172804.228	1.98	19.37	n/a	n/a	n/a	n/a	n/a	n/a	0.00	0.17	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 172825.348	0.21	9.81	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	0.06	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 172846.442	-0.41	5.41	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	0.01	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 172907.638	-1.36	4.51	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.00	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 172928.733	-1.27	2.29	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 172949.830	-1.37	3.20	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 173011.048	-1.34	3.38	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 173032.142	-1.07	2.43	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 173053.339	-1.22	2.02	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 182214.575	932.85	805.70	n/a	n/a	n/a	n/a	n/a	n/a	11.86	9.35	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 182235.874	504.39	427.13	n/a	n/a	n/a	n/a	n/a	n/a	6.40	4.93	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 182256.968	432.96	421.75	n/a	n/a	n/a	n/a	n/a	n/a	5.49	4.87	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 182318.088	449.10	429.98	n/a	n/a	n/a	n/a	n/a	n/a	5.70	4.96	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 182339.284	456.14	349.69	n/a	n/a	n/a	n/a	n/a	n/a	5.79	4.03	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 182400.378	321.33	268.40	n/a	n/a	n/a	n/a	n/a	n/a	4.07	3.08	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 182421.575	351.31	280.64	n/a	n/a	n/a	n/a	n/a	n/a	4.45	3.22	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 182442.669	294.96	279.78	n/a	n/a	n/a	n/a	n/a	n/a	3.74	3.21	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 182503.788	312.45	264.93	n/a	n/a	n/a	n/a	n/a	n/a	3.96	3.04	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 182524.985	269.29	207.41	n/a	n/a	n/a	n/a	n/a	n/a	3.41	2.36	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 182546.284	180.21	100.62	n/a	n/a	n/a	n/a	n/a	n/a	2.27	1.12	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 182607.480	66.51	4.12	n/a	n/a	n/a	n/a	n/a	n/a	0.83	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 182628.574	2.94	1.85	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 182649.770	-0.99	3.87	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 182710.864	0.54	30.09	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	0.29	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 182731.984	4.04	119.23	n/a	n/a	n/a	n/a	n/a	n/a	0.03	1.34	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 182753.180	7.92	92.08	n/a	n/a	n/a	n/a	n/a	n/a	0.08	1.02	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 182814.274	14.34	22.25	n/a	n/a	n/a	n/a	n/a	n/a	0.16	0.20	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 182835.368	12.17	6.22	n/a	n/a	n/a	n/a	n/a	n/a	0.13	0.02	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 182856.565	3.02	2.68	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 182917.685	0.22	2.39	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 182938.778	-1.03	1.48	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 182959.975	-1.23	1.77	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 183021.069	-1.34	2.74	n/a	n/a	n/a	n/a	n/a	n/a	-0.04	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 183042.265	-1.04	1.31	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 183103.564	-0.34	1.33	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 192224.907	924.53	863.58	n/a	n/a	n/a	n/a	n/a	n/a	11.76	10.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 192246.232	678.29	602.40	n/a	n/a	n/a	n/a	n/a	n/a	8.62	6.98	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 192307.531	476.45	421.17	n/a	n/a	n/a	n/a	n/a	n/a	6.05	4.86	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 192328.727	350.13	313.13	n/a	n/a	n/a	n/a	n/a	n/a	4.44	3.60	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 192350.026	292.51	311.67	n/a	n/a	n/a	n/a	n/a	n/a	3.70	3.58	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 192411.223	418.51	347.54	n/a	n/a	n/a	n/a	n/a	n/a	5.31	4.00	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 192432.317	342.23	316.01	n/a	n/a	n/a	n/a	n/a	n/a	4.34	3.63	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 192453.513	351.40	300.70	n/a	n/a	n/a	n/a	n/a	n/a	4.45	3.45	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 192514.813	315.79	297.86	n/a	n/a	n/a	n/a	n/a	n/a	4.00	3.42	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 192536.009	230.72	167.78	n/a	n/a	n/a	n/a	n/a	n/a	2.92	1.90	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 192557.129	152.75	30.61	n/a	n/a	n/a	n/a	n/a	n/a	1.92	0.30	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 192618.223	46.36	2.82	n/a	n/a	n/a	n/a	n/a	n/a	0.57	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 192639.419	0.36	2.15	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 192700.513	0.06	10.48	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	0.07	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 192721.710	0.30	45.35	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	0.47	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 192743.112	7.99	81.00	n/a	n/a	n/a	n/a	n/a	n/a	0.08	0.89	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 192804.410	6.03	50.27	n/a	n/a	n/a	n/a	n/a	n/a	0.06	0.53	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 192825.607	6.62	13.14	n/a	n/a	n/a	n/a	n/a	n/a	0.06	0.10	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 192846.727	8.39	2.46	n/a	n/a	n/a	n/a	n/a	n/a	0.09	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 192907.821	3.19	1.56	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 192929.017	0.42	1.49	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 192950.112	-0.44	2.09	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 193011.312	-0.18	2.33	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 193032.402	-0.39	2.59	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 193053.522	-0.41	1.44	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 193114.719	-0.44	1.33	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 202236.402	495.02	521.71	n/a	n/a	n/a	n/a	n/a	n/a	6.28	6.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 202257.701	487.81	466.36	n/a	n/a	n/a	n/a	n/a	n/a	6.19	5.39	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 202319.000	447.46	426.75	n/a	n/a	n/a	n/a	n/a	n/a	5.68	4.93	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 202340.196	367.43	395.17	n/a	n/a	n/a	n/a	n/a	n/a	4.66	4.56	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
