Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
28072023 142122.148	828.19	830.72	n/a	n/a	n/a	n/a	n/a	n/a	10.53	9.64	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 142143.344	309.79	467.43	n/a	n/a	n/a	n/a	n/a	n/a	3.92	5.40	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 142204.746	347.12	317.27	n/a	n/a	n/a	n/a	n/a	n/a	4.40	3.65	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 142226.147	327.14	263.20	n/a	n/a	n/a	n/a	n/a	n/a	4.15	3.02	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 142247.523	364.02	326.49	n/a	n/a	n/a	n/a	n/a	n/a	4.62	3.75	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 142308.643	246.08	234.97	n/a	n/a	n/a	n/a	n/a	n/a	3.11	2.69	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 142329.840	116.05	133.59	n/a	n/a	n/a	n/a	n/a	n/a	1.46	1.50	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 142351.241	64.43	128.67	n/a	n/a	n/a	n/a	n/a	n/a	0.80	1.45	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 142412.643	58.99	93.30	n/a	n/a	n/a	n/a	n/a	n/a	0.73	1.03	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 142434.044	33.47	38.45	n/a	n/a	n/a	n/a	n/a	n/a	0.40	0.39	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 142455.446	67.18	19.29	n/a	n/a	n/a	n/a	n/a	n/a	0.83	0.17	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 142516.847	49.19	124.66	n/a	n/a	n/a	n/a	n/a	n/a	0.61	1.40	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 142538.223	12.97	122.99	n/a	n/a	n/a	n/a	n/a	n/a	0.14	1.38	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 142559.624	11.66	39.16	n/a	n/a	n/a	n/a	n/a	n/a	0.13	0.40	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 142621.026	9.83	238.25	n/a	n/a	n/a	n/a	n/a	n/a	0.10	2.72	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 142642.325	10.22	200.60	n/a	n/a	n/a	n/a	n/a	n/a	0.11	2.29	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 142703.522	10.03	91.19	n/a	n/a	n/a	n/a	n/a	n/a	0.11	1.01	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 142724.642	10.21	49.04	n/a	n/a	n/a	n/a	n/a	n/a	0.11	0.52	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 142745.838	9.82	3.92	n/a	n/a	n/a	n/a	n/a	n/a	0.10	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 142807.240	7.03	4.02	n/a	n/a	n/a	n/a	n/a	n/a	0.07	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 142828.642	4.47	4.76	n/a	n/a	n/a	n/a	n/a	n/a	0.04	-0.00	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 142850.043	3.58	2.35	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 142911.444	3.40	2.95	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 142932.846	2.23	2.98	n/a	n/a	n/a	n/a	n/a	n/a	0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 142954.222	1.96	2.46	n/a	n/a	n/a	n/a	n/a	n/a	0.00	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 143015.630	2.16	2.52	n/a	n/a	n/a	n/a	n/a	n/a	0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
