Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 221013.289	112.17	77.27	n/a	n/a	n/a	n/a	n/a	n/a	1.41	0.85	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-9.942	1
29072023 221034.383	123.32	72.09	n/a	n/a	n/a	n/a	n/a	n/a	1.55	0.78	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-9.942	1
29072023 221055.580	53.65	78.82	n/a	n/a	n/a	n/a	n/a	n/a	0.66	0.86	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-9.942	1
29072023 221116.700	81.11	71.71	n/a	n/a	n/a	n/a	n/a	n/a	1.01	0.78	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-9.942	1
29072023 221137.794	81.92	72.50	n/a	n/a	n/a	n/a	n/a	n/a	1.02	0.79	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-9.942	1
29072023 221158.990	83.24	70.69	n/a	n/a	n/a	n/a	n/a	n/a	1.04	0.77	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-9.942	1
29072023 221220.085	79.12	71.58	n/a	n/a	n/a	n/a	n/a	n/a	0.99	0.78	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-9.942	1
29072023 221241.282	87.80	77.91	n/a	n/a	n/a	n/a	n/a	n/a	1.10	0.85	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-9.942	1
29072023 221302.376	80.34	78.86	n/a	n/a	n/a	n/a	n/a	n/a	1.00	0.86	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-9.942	1
29072023 221323.496	77.62	70.19	n/a	n/a	n/a	n/a	n/a	n/a	0.97	0.76	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-9.942	1
