Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 181914.816	68.19	107.85	n/a	n/a	n/a	n/a	n/a	n/a	0.85	1.20	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 181935.910	60.61	75.91	n/a	n/a	n/a	n/a	n/a	n/a	0.75	0.83	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 181957.107	64.44	82.84	n/a	n/a	n/a	n/a	n/a	n/a	0.80	0.91	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 182018.201	79.53	68.95	n/a	n/a	n/a	n/a	n/a	n/a	0.99	0.75	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 182039.397	91.42	68.54	n/a	n/a	n/a	n/a	n/a	n/a	1.14	0.74	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 191200.968	864.19	813.41	n/a	n/a	n/a	n/a	n/a	n/a	10.99	9.44	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 191222.191	828.05	793.94	n/a	n/a	n/a	n/a	n/a	n/a	10.53	9.21	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 191243.285	515.89	340.39	n/a	n/a	n/a	n/a	n/a	n/a	6.55	3.92	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 191304.481	323.30	285.42	n/a	n/a	n/a	n/a	n/a	n/a	4.10	3.28	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 191325.575	374.34	336.71	n/a	n/a	n/a	n/a	n/a	n/a	4.75	3.87	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 191346.670	387.01	357.53	n/a	n/a	n/a	n/a	n/a	n/a	4.91	4.12	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 191407.866	436.28	338.17	n/a	n/a	n/a	n/a	n/a	n/a	5.54	3.89	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 191428.986	411.14	319.94	n/a	n/a	n/a	n/a	n/a	n/a	5.22	3.68	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 191450.183	373.46	273.56	n/a	n/a	n/a	n/a	n/a	n/a	4.74	3.14	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 191511.280	274.92	255.58	n/a	n/a	n/a	n/a	n/a	n/a	3.48	2.93	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 191532.371	259.95	168.88	n/a	n/a	n/a	n/a	n/a	n/a	3.29	1.91	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 191553.568	139.35	111.99	n/a	n/a	n/a	n/a	n/a	n/a	1.75	1.25	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 191614.687	114.95	124.00	n/a	n/a	n/a	n/a	n/a	n/a	1.44	1.39	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 191635.884	92.17	64.46	n/a	n/a	n/a	n/a	n/a	n/a	1.15	0.70	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 191657.183	98.08	87.27	n/a	n/a	n/a	n/a	n/a	n/a	1.23	0.96	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 191718.380	98.01	38.53	n/a	n/a	n/a	n/a	n/a	n/a	1.23	0.39	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 191739.474	88.05	36.16	n/a	n/a	n/a	n/a	n/a	n/a	1.10	0.37	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 191800.670	57.93	38.15	n/a	n/a	n/a	n/a	n/a	n/a	0.72	0.39	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 191821.764	67.36	73.94	n/a	n/a	n/a	n/a	n/a	n/a	0.84	0.81	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 191842.987	69.76	91.99	n/a	n/a	n/a	n/a	n/a	n/a	0.87	1.02	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 191904.081	69.51	99.14	n/a	n/a	n/a	n/a	n/a	n/a	0.86	1.10	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 191925.175	65.71	102.16	n/a	n/a	n/a	n/a	n/a	n/a	0.82	1.14	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 191946.371	76.62	66.56	n/a	n/a	n/a	n/a	n/a	n/a	0.95	0.72	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 192007.466	82.12	76.21	n/a	n/a	n/a	n/a	n/a	n/a	1.02	0.83	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 192028.662	84.05	75.56	n/a	n/a	n/a	n/a	n/a	n/a	1.05	0.83	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 192049.782	100.43	73.90	n/a	n/a	n/a	n/a	n/a	n/a	1.26	0.81	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 201211.032	877.10	802.79	n/a	n/a	n/a	n/a	n/a	n/a	11.15	9.31	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 201232.228	873.19	798.36	n/a	n/a	n/a	n/a	n/a	n/a	11.10	9.26	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 201253.322	663.27	487.56	n/a	n/a	n/a	n/a	n/a	n/a	8.43	5.63	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 201314.519	359.59	263.54	n/a	n/a	n/a	n/a	n/a	n/a	4.56	3.02	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 201335.638	371.65	337.68	n/a	n/a	n/a	n/a	n/a	n/a	4.71	3.89	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 201356.740	412.77	333.49	n/a	n/a	n/a	n/a	n/a	n/a	5.24	3.84	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 201417.929	439.09	356.17	n/a	n/a	n/a	n/a	n/a	n/a	5.57	4.10	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 201439.022	374.47	304.41	n/a	n/a	n/a	n/a	n/a	n/a	4.75	3.50	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 201500.219	383.75	289.03	n/a	n/a	n/a	n/a	n/a	n/a	4.87	3.32	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 201521.339	344.62	261.67	n/a	n/a	n/a	n/a	n/a	n/a	4.37	3.00	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 201542.433	295.63	258.45	n/a	n/a	n/a	n/a	n/a	n/a	3.74	2.96	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 201603.629	211.46	185.25	n/a	n/a	n/a	n/a	n/a	n/a	2.67	2.11	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 201624.723	142.20	98.22	n/a	n/a	n/a	n/a	n/a	n/a	1.79	1.09	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 201645.817	97.74	38.27	n/a	n/a	n/a	n/a	n/a	n/a	1.22	0.39	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 201707.014	30.76	32.54	n/a	n/a	n/a	n/a	n/a	n/a	0.37	0.32	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 201728.133	53.37	49.95	n/a	n/a	n/a	n/a	n/a	n/a	0.66	0.53	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 201749.227	86.92	57.30	n/a	n/a	n/a	n/a	n/a	n/a	1.09	0.61	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 201810.423	66.27	62.50	n/a	n/a	n/a	n/a	n/a	n/a	0.82	0.67	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 201831.518	89.16	98.22	n/a	n/a	n/a	n/a	n/a	n/a	1.11	1.09	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 201852.714	93.07	105.16	n/a	n/a	n/a	n/a	n/a	n/a	1.16	1.17	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 201913.834	96.54	98.75	n/a	n/a	n/a	n/a	n/a	n/a	1.21	1.10	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 201934.927	89.75	95.07	n/a	n/a	n/a	n/a	n/a	n/a	1.12	1.05	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 201956.022	101.78	60.98	n/a	n/a	n/a	n/a	n/a	n/a	1.27	0.66	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 202017.218	102.84	71.97	n/a	n/a	n/a	n/a	n/a	n/a	1.29	0.78	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 202038.312	103.82	75.90	n/a	n/a	n/a	n/a	n/a	n/a	1.30	0.83	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 202059.508	112.91	76.16	n/a	n/a	n/a	n/a	n/a	n/a	1.42	0.83	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
