Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 141412.580	173.81	203.38	n/a	n/a	n/a	n/a	n/a	n/a	2.19	2.32	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 141433.879	237.94	173.42	n/a	n/a	n/a	n/a	n/a	n/a	3.01	1.97	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 141455.076	154.37	110.13	n/a	n/a	n/a	n/a	n/a	n/a	1.94	1.23	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 141516.273	87.21	74.12	n/a	n/a	n/a	n/a	n/a	n/a	1.09	0.81	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 141537.674	62.28	65.65	n/a	n/a	n/a	n/a	n/a	n/a	0.77	0.71	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 141559.076	68.82	60.74	n/a	n/a	n/a	n/a	n/a	n/a	0.86	0.65	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 141620.375	66.97	55.28	n/a	n/a	n/a	n/a	n/a	n/a	0.83	0.59	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 141641.572	52.88	49.76	n/a	n/a	n/a	n/a	n/a	n/a	0.65	0.52	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 141702.794	46.10	48.08	n/a	n/a	n/a	n/a	n/a	n/a	0.57	0.50	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 141724.093	49.79	58.41	n/a	n/a	n/a	n/a	n/a	n/a	0.61	0.63	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 141745.290	62.05	60.91	n/a	n/a	n/a	n/a	n/a	n/a	0.77	0.65	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 141806.692	57.86	67.03	n/a	n/a	n/a	n/a	n/a	n/a	0.72	0.73	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 141828.093	59.92	54.29	n/a	n/a	n/a	n/a	n/a	n/a	0.74	0.58	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 141849.495	59.64	32.12	n/a	n/a	n/a	n/a	n/a	n/a	0.74	0.32	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 141910.871	58.04	42.88	n/a	n/a	n/a	n/a	n/a	n/a	0.72	0.44	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
