Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
28072023 003720.767	638.93	451.24	n/a	n/a	n/a	n/a	n/a	n/a	8.12	5.21	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 003741.964	308.53	216.31	n/a	n/a	n/a	n/a	n/a	n/a	3.91	2.47	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 003803.366	205.76	184.79	n/a	n/a	n/a	n/a	n/a	n/a	2.60	2.10	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 003824.767	184.38	134.23	n/a	n/a	n/a	n/a	n/a	n/a	2.33	1.51	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 003846.169	169.90	109.53	n/a	n/a	n/a	n/a	n/a	n/a	2.14	1.22	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 003907.366	113.23	88.93	n/a	n/a	n/a	n/a	n/a	n/a	1.42	0.98	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 003928.767	102.34	101.73	n/a	n/a	n/a	n/a	n/a	n/a	1.28	1.13	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 003950.169	90.78	42.33	n/a	n/a	n/a	n/a	n/a	n/a	1.13	0.44	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 004011.571	81.37	22.43	n/a	n/a	n/a	n/a	n/a	n/a	1.01	0.21	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 004032.946	8.33	4.23	n/a	n/a	n/a	n/a	n/a	n/a	0.08	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 004054.348	24.22	2.68	n/a	n/a	n/a	n/a	n/a	n/a	0.29	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 004115.750	1.47	2.95	n/a	n/a	n/a	n/a	n/a	n/a	-0.00	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 004137.151	0.30	2.79	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 004158.553	0.23	2.53	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 004219.954	0.08	2.22	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 004241.356	0.15	2.35	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 004302.758	0.14	2.27	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 004324.159	0.53	2.36	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 004345.561	1.04	2.21	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 004406.962	0.33	2.19	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 004428.364	0.37	2.12	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 004449.766	0.18	2.03	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 004511.167	0.08	2.11	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 004532.569	0.22	2.20	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 004553.971	0.14	2.20	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 004615.346	0.18	2.28	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 013738.047	691.91	805.78	n/a	n/a	n/a	n/a	n/a	n/a	8.79	9.35	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 013759.269	243.94	246.49	n/a	n/a	n/a	n/a	n/a	n/a	3.09	2.82	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
